Substance,Sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH4,Fuel Exploitation,2361.9217087485,2362.2593265065,2284.2093948325,2447.6872172254,2507.9841488452,2578.5217222213,2638.7952506458,2629.2676827112,2671.2708741354,2622.6715481553,2708.2538596713,2861.6977813138,2899.8753805932,2855.3718909064,2881.4391459694,2849.8315430859,2829.895699675,2898.5294624708,3003.1790156607,3053.1066449546,2866.5114535846,2974.0332060674,3111.8307495654
CH4,Industrial Combustion,12.268698241985,12.23627420512,12.314854136256,13.195703580882,14.698510459962,15.975106830458,16.746989118495,17.352478168749,17.686067534375,17.281006764885,18.735992641846,19.232320012245,19.408248709517,19.509663639666,19.58729997593,19.418573387676,19.001589570044,18.817031957275,18.844428099545,18.789718431082,18.788386905443,18.952470601279,19.233336110396
CH4,Power Industry,5.9145628929596,6.1929559808793,6.5215978514636,6.7991679110577,7.2393317876284,7.6218470450127,7.8608212786535,8.2928147672021,8.587018507792,8.8191743734073,9.896283761341,10.223305692179,10.909186068482,11.204489358115,11.597920369669,11.914122161422,12.750300925762,13.342678685458,13.882775256942,14.268436975484,14.466083724285,15.563469027661,15.783781356485
CH4,Processes,5.3002360870395,5.4077255918918,5.7013617976302,6.0616666480851,6.5197194218469,6.8183541382035,7.5177427525388,8.054440825603,8.1200169752723,8.094751469915,9.2411051093729,10.056671482631,10.554538190156,11.130683364233,12.25882348063,12.098002625449,12.734886101522,13.192430110479,13.711025490545,14.439057735397,14.396234299784,14.999462665412,14.671613020652
CH4,Transport,34.432585037074,33.610392433176,33.781313532101,33.478939971901,33.594563790776,33.501812301959,32.379458942391,31.691702039421,31.98341024321,31.675891060064,31.983677823627,31.670941787353,31.076409883795,30.623436972054,30.394930919341,29.839594712135,29.455929553345,29.048562716117,28.832277483228,29.517878596405,27.108615978945,28.848648872301,30.099193289977
CH4,Waste,1293.0748516613,1282.2890992362,1289.2018670408,1309.1250333785,1326.0428397976,1339.8710421806,1372.9886119328,1398.8050031964,1405.2029937736,1411.8170649312,1431.2261249908,1460.9381073924,1474.6482011663,1505.2476699664,1532.0656420438,1566.7829782246,1598.1263913911,1633.5387771189,1674.5618082714,1704.6549306177,1731.9386839864,1770.0562398453,1800.6789113552
F-gases,Processes,591.3855213046,593.98005925143,662.81471098206,688.22354948421,757.64988948354,805.54071817134,775.44401663628,778.59114076107,758.37915358556,776.78392755215,829.14653286575,875.51772483591,928.52581780471,972.36870854789,1040.052620579,1004.9754241142,1053.7428324313,1112.4227863971,1171.5030752092,1220.6834607721,1272.7991521374,1333.2424283328,1393.0615581448
N2O,Agriculture,1382.1201032534,1382.9126777053,1403.3496208897,1421.2213684185,1458.107258108,1465.8477654576,1495.7409305933,1516.4042387505,1511.1849162383,1548.1803408819,1554.8510760105,1592.757421086,1604.7671215247,1630.4964997681,1623.8733334291,1639.4004517749,1657.2316100145,1656.2839203034,1654.8420259176,1681.5975392688,1712.6665398436,1708.491047618,1722.2397446574
N2O,Buildings,65.522555883604,65.21094519608,64.827568249849,65.526959972036,67.899600892837,69.503682857595,70.009256822329,69.193818220386,69.321127501912,67.785047464351,69.399011950327,69.020954263171,68.357007591047,68.65376741766,68.861074837547,67.796119310809,67.00487508621,67.871469813813,68.006143967643,67.485973705224,66.081942603491,67.915327905093,68.264704746287
N2O,Fuel Exploitation,4.7549466550695,4.9691310621445,5.0028489088455,5.4794513216447,5.5392395977156,5.795606936519,5.8665155878821,6.3345239624678,6.6103959520446,6.6643744828859,7.0587238313859,8.0355717722984,8.3306822432829,8.5057477930327,8.1291605230174,8.1486005516578,7.8774440773674,7.8495324175942,7.9581055671978,8.1267544644202,7.6399599658278,7.8450320620935,7.8022587892307
N2O,Industrial Combustion,16.285500505723,16.211493539595,16.2852287026,17.315077090016,19.216650672955,20.973052186151,22.102703028663,22.912563199643,23.341470850232,23.403040837552,25.161835630861,25.769492898808,26.018651562916,26.236427322077,26.293519479048,25.972492557219,25.482275487393,25.123604691859,25.020218105041,24.786832237839,24.770081038876,25.005835831015,25.176726236741
N2O,Power Industry,67.685452334462,65.182235955997,62.406889770222,66.593716611078,68.52015221849,70.987100589571,73.842056398491,79.39608070829,78.066154601469,78.425125331999,84.876799774714,91.627897313171,95.772273339071,99.801761944428,101.88901444465,102.26768738856,106.67081010177,110.20332245093,117.09767739277,119.78914606587,115.82486938947,127.51599704436,128.62941170329
N2O,Processes,309.26351273673,299.70733029842,287.41130830646,292.6726830996,298.93618678783,307.32520618603,305.74902239078,316.46155151072,294.88370253621,261.33239766446,271.13476769198,275.64686680857,273.21482941612,273.43908379533,273.41981539607,271.34671066832,271.19452584958,273.21690578964,276.95414673961,276.56387760464,265.66075301111,276.41538547342,274.57700620935
N2O,Transport,73.618238888156,75.045532072976,78.237394876794,81.451740785008,86.407241660136,86.938272395393,90.674937953159,94.249892249546,95.630669730914,90.675312840361,95.020315346038,96.376030021082,97.597352079264,97.850521826513,99.421617223437,101.04622613416,102.44887676757,105.031231865,106.86242438596,108.51665341729,97.037530663097,103.75021525873,108.21399282714
N2O,Waste,84.696329843254,86.036985256948,87.192119650872,89.017382116933,90.420347445388,91.714046686965,93.827459347843,96.110903408115,97.999827602689,100.06704206101,102.08941271945,104.39745276245,106.20808768307,108.4050542606,110.21438820201,112.40929803796,114.73444817926,116.83983041278,118.73513762236,120.25996207163,122.06429136529,123.78166007143,125.64764792329
